J064151.08+100144.6 100.46283   10.029056 1 1 1 1 1 1 1 1 1 4.85461E+02	4.47126E+00	4.44605E+02	4.09496E+00	1.95204E+02	4.85431E+00	1.32282E+02	3.16774E+00	9.33965E+01	1.97849E+00	5.64829E+01	1.14450E+00	3.71014E+01	7.17605E-01	2.71833E+01	5.25773E-01	4.64261E+01	1.83868E+00
J113505.30-554840.3 173.77208  -55.811194 1 1 1 1 1 1 1 1 1 8.85023E+01	8.80347E+00	1.87057E+02	1.08540E+01	5.65052E+02	1.04086E+01	5.96898E+02	2.08910E+01	4.83872E+02	1.29242E+01	3.72627E+02	9.66755E+00	4.38265E+02	7.58725E+00	1.21984E+03	1.34822E+01	1.07836E+03	1.48980E+01
J132217.71+623337.9 200.57379   62.560528 1 1 1 1 1 1 1 1 1 4.81454E+01	8.11486E+00	1.14703E+02	8.97985E+00	2.78797E+02	5.39241E+00	2.90737E+02	7.49780E+00	2.09667E+02	4.63465E+00	1.05370E+02	2.23213E+00	6.20284E+01	1.14260E+00	6.79678E+01	9.39009E-01	7.75465E+01	1.85700E+00
J142409.74+581826.3 216.04058   58.307306 1 1 1 1 1 1 1 1 1 1.24095E+01	1.04581E+01	4.51205E+01	3.61966E+01	4.66110E+02	1.11619E+01	6.12491E+02	1.63596E+01	4.97887E+02	9.62998E+00	2.57310E+02	5.94958E+00	1.74337E+02	3.21141E+00	5.23242E+01	7.71078E-01	2.17752E+01	1.04290E+00
J145820.26+150229.3 224.58441   15.041472 0 0 1 1 1 1 1 1 1 4.00087E+06	0.00000E+00	3.59728E+06	0.00000E+00	1.69546E+03	3.12316E+01	2.40713E+03	4.43410E+01	1.88421E+03	3.47085E+01	1.04687E+03	4.67972E+01	5.75753E+02	1.03254E+01	1.35239E+02	1.74384E+00	4.66404E+01	1.63238E+00
J153456.23+335145.2 233.73429   33.862556 0 0 1 1 1 1 1 1 1 4.00087E+06	0.00000E+00	3.59728E+06	0.00000E+00	1.49172E+02	2.88525E+00	2.06205E+02	4.17829E+00	1.64411E+02	2.57428E+00	8.68394E+01	1.83959E+00	4.76201E+01	8.77195E-01	1.78773E+01	2.96382E-01	9.16985E+00	8.44574E-01
J161241.51+054140.8 243.17295    5.694667 0 0 1 1 1 1 1 1 1 4.00087E+06	0.00000E+00	3.59728E+06	0.00000E+00	2.10712E+02	4.07552E+00	3.12392E+02	6.90537E+00	2.72101E+02	5.26290E+00	1.39674E+02	2.83019E+00	7.88842E+01	1.45310E+00	2.36975E+01	4.36524E-01	1.05673E+01	1.04141E+00
J161808.54-224218.7 244.53558  -22.705194 1 1 1 1 1 1 1 1 1 2.86388E+02	1.34524E+01	4.36088E+02	1.24512E+01	6.17857E+02	1.36576E+01	4.99229E+02	2.16109E+01	3.72847E+02	8.24171E+00	1.88937E+02	4.00240E+00	1.12354E+02	2.06965E+00	4.00962E+01	7.01669E-01	1.85850E+01	1.35227E+00
J163033.90-242806.5 247.64125  -24.468472 0 0 1 1 1 1 1 1 1 4.00087E+06	0.00000E+00	3.59728E+06	0.00000E+00	3.56852E+01	8.54550E-01	5.07575E+01	1.12198E+00	4.78553E+01	8.81528E-01	3.19976E+01	6.48358E-01	2.45578E+01	4.29754E-01	2.14933E+01	4.75105E-01	3.44478E+01	1.87193E+00
J164021.30+075004.8 250.08875    7.834667 0 0 1 1 1 1 1 1 1 4.00087E+06	0.00000E+00	3.59728E+06	0.00000E+00	8.91432E+02	2.13470E+01	1.37626E+03	3.92950E+01	1.17039E+03	1.83255E+01	6.07010E+02	2.14243E+01	3.42445E+02	6.62347E+00	1.08518E+02	1.49924E+00	5.29617E+01	1.80484E+00
J164837.40+351209.3 252.15583   35.202583 1 1 1 1 1 1 1 1 1 8.29000E+01	8.01714E+00	1.27167E+02	7.84738E+00	1.61766E+02	3.57582E+00	1.45848E+02	4.29859E+00	1.12494E+02	2.27944E+00	1.13218E+02	2.39839E+00	1.34831E+02	2.60787E+00	1.72466E+02	2.22386E+00	1.15229E+02	2.54712E+00
J165556.61+241554.0 253.98587   24.265000 0 0 1 1 1 1 1 1 1 4.00087E+06	0.00000E+00	3.59728E+06	0.00000E+00	1.72539E+01	4.13178E-01	1.69473E+01	4.99489E-01	1.20873E+01	2.56055E-01	6.61176E+00	1.33972E-01	4.44826E+00	9.01340E-02	4.59942E+00	1.65213E-01	1.22001E+01	1.06748E+00
