   Teff,Logg,      G,      B,      V,      u,      g,      r,      i,      z,      J,      H,      K, W1_W10, W2_W10, W3_W10, W4_W10
2250,2.5,-31.435,-27.144,-27.4,-26.41,-27.333,-27.937,-31.587,-33.691,-36.523,-37.062,-37.522,-37.817,-38.181,-38.617,-38.792
2250,3,-31.573,-27.011,-27.642,-25.967,-27.396,-28.198,-31.76,-33.808,-36.545,-37.105,-37.559,-37.845,-38.185,-38.619,-38.768
2250,3.5,-31.608,-26.618,-27.769,-25.065,-27.208,-28.483,-31.811,-33.83,-36.536,-37.121,-37.571,-37.862,-38.17,-38.609,-38.737
2250,4,-31.657,-26.369,-27.844,-24.282,-27.084,-28.703,-31.821,-33.885,-36.563,-37.157,-37.573,-37.835,-38.081,-38.55,-38.653
2250,4.5,-31.632,-25.933,-27.791,-23.662,-26.719,-28.868,-31.74,-33.874,-36.553,-37.176,-37.556,-37.832,-38.042,-38.527,-38.633
2250,5,-31.518,-25.323,-27.543,-23.337,-26.148,-28.843,-31.563,-33.78,-36.503,-37.203,-37.555,-37.858,-38.012,-38.514,-38.586
2300,2.5,-31.732,-27.773,-27.931,-27.134,-27.918,-28.393,-31.961,-33.946,-36.66,-37.155,-37.588,-37.874,-38.235,-38.65,-38.827
2300,3,-31.792,-27.526,-28.049,-26.562,-27.871,-28.512,-32.038,-33.995,-36.645,-37.173,-37.608,-37.889,-38.229,-38.645,-38.798
2300,3.5,-31.783,-27.045,-28.128,-25.532,-27.605,-28.759,-32.039,-33.975,-36.608,-37.171,-37.61,-37.901,-38.211,-38.635,-38.766
2300,4,-31.794,-26.689,-28.07,-24.68,-27.377,-28.836,-32.015,-33.999,-36.621,-37.207,-37.622,-37.89,-38.147,-38.59,-38.696
2300,4.5,-32.047,-26.389,-28.088,-24.2,-27.064,-29.189,-32.209,-34.279,-36.75,-37.285,-37.652,-37.898,-38.106,-38.557,-38.662
2300,5,-31.854,-26.012,-27.965,-25.447,-26.728,-29.21,-31.954,-34.09,-36.659,-37.285,-37.611,-37.891,-38.043,-38.53,-38.597
