!  STARS, BROWN DWARFS, AND GAS GIANT PLANETS COLORS
!  
!  E(B-V) =     0.000
!     A_V =     0.000
!
!  "MAGNITUDES" m AT THE STELLAR SURFACE
!  (distance modulus factor not included)
!
!  ABSOLUTE MAGNITUDES: M_m = m - 5logR(pc) + 5
!
! Type of calibration used: Vega
! Using recent Calspec Alpha Lyrea STIS spectrum:
! ftp://ftp.stsci.edu/cdbs/current_calspec/
!
! Unless mentioned otherwise below, we calculate:
! Pogson magnitudes resulting from photon count integration (caracteristic of CCDs)
!
!  WISE filter system
!
!        Teff    Logg   [M/H]   [a/H]        W1_W10      W2_W10      W3_W10      W4_W10
      2250.00    2.50    0.00    0.00       -37.817     -38.181     -38.617     -38.792
      2250.00    3.00    0.00    0.00       -37.845     -38.185     -38.619     -38.768
      2250.00    3.50    0.00    0.00       -37.862     -38.170     -38.609     -38.737
      2250.00    4.00    0.00    0.00       -37.835     -38.081     -38.550     -38.653
      2250.00    4.50    0.00    0.00       -37.832     -38.042     -38.527     -38.633
      2250.00    5.00    0.00    0.00       -37.858     -38.012     -38.514     -38.586
      2300.00    2.50    0.00    0.00       -37.874     -38.235     -38.650     -38.827
      2300.00    3.00    0.00    0.00       -37.889     -38.229     -38.645     -38.798
      2300.00    3.50    0.00    0.00       -37.901     -38.211     -38.635     -38.766
      2300.00    4.00    0.00    0.00       -37.890     -38.147     -38.590     -38.696
      2300.00    4.50    0.00    0.00       -37.898     -38.106     -38.557     -38.662
      2300.00    5.00    0.00    0.00       -37.891     -38.043     -38.530     -38.597
      2300.00    5.50    0.00    0.00       -37.855     -37.861     -38.426     -38.430
      2350.00    2.50    0.00    0.00       -37.915     -38.273     -38.663     -38.839
      2350.00    3.00    0.00    0.00       -37.964     -38.300     -38.684     -38.835
      2350.00    3.50    0.00    0.00       -37.977     -38.287     -38.674     -38.803
      2350.00    4.00    0.00    0.00       -37.970     -38.233     -38.637     -38.744
      2350.00    4.50    0.00    0.00       -37.964     -38.181     -38.603     -38.701
      2350.00    5.00    0.00    0.00       -37.931     -38.077     -38.539     -38.614
      2400.00    2.50    0.00    0.00       -37.974     -38.327     -38.698     -38.873
      2400.00    3.00    0.00    0.00       -38.002     -38.337     -38.706     -38.859
      2400.00    3.50    0.00    0.00       -38.031     -38.343     -38.712     -38.847
      2400.00    4.00    0.00    0.00       -38.016     -38.286     -38.671     -38.780
      2400.00    4.50    0.00    0.00       -38.005     -38.227     -38.631     -38.728
      2400.00    5.00    0.00    0.00       -37.993     -38.152     -38.585     -38.657
      2400.00    5.50    0.00    0.00       -37.977     -38.014     -38.507     -38.513
      2500.00    2.50    0.00    0.00       -38.075     -38.420     -38.749     -38.922
      2500.00    3.00    0.00    0.00       -38.129     -38.458     -38.781     -38.936
      2500.00    3.50    0.00    0.00       -38.147     -38.454     -38.780     -38.915
      2500.00    4.00    0.00    0.00       -38.134     -38.407     -38.742     -38.851
      2500.00    4.50    0.00    0.00       -38.129     -38.361     -38.713     -38.810
      2500.00    5.00    0.00    0.00       -38.115     -38.292     -38.667     -38.746
      2500.00    5.50    0.00    0.00       -38.107     -38.197     -38.610     -38.636
      2600.00    2.50    0.00    0.00       -38.170     -38.507     -38.795     -38.968
      2600.00    3.00    0.00    0.00       -38.225     -38.545     -38.831     -38.985
      2600.00    3.50    0.00    0.00       -38.255     -38.556     -38.843     -38.980
