AWI0005aeh,J014031.54+812547.3
AWI0005mti,J014035.16+545631.3
AWI0005e0y,J014048.97+722346.2
AWI00062aa,J014113.00+163051.7
AWI00062n5,J014202.95-410705.0
AWI000424d,J014222.71+581709.0
AWI000634b,J014922.31+493422.9
AWI0005zx4,J014928.21+244048.7
AWI00008jh,J015317.94-461421.9
AWI0004ehf,J015410.30+573624.9
AWI0002d4o,J015433.84+672954.5
AWI0004yhv,J015738.21+622231.1
AWI000424k,J015819.96+575203.0
AWI0002vbd,J020206.67+601741.4 
AWI00062aj,J020221.16+192323.6
AWI000424m,J020335.31+575840.4
AWI0000zi8,J021307.20+625719.1
AWI0005w6v,J021327.01+421923.3
AWI0005mub,J021432.97+530324.3
AWI000424z,J021447.05+574157.2
AWI0003cs7,J021532.17+591424.4
AWI0001qp3,J022012.80+642013.1
AWI0000xan,J022240.64+613248.6
AWI0005w72,J022325.66+433658.2
AWI0004yi8,J022430.65+611006.1
AWI000633y,J022734.62+481354.5
AWI00055u5,J022909.47+721035.6
AWI0005zft,J023007.33+332423.1
AWI0005yjq,J023047.36+360701.7
AWI0005zxc,J023223.02+222002.6
AWI00055us,J023223.71+723952.6
AWI0003lv6,J023501.37+573219.8
AWI0005w77,J023720.84+395345.8
AWI00019v2,J023903.59+623431.7
AWI0005muq,J024020.94+493336.7
AWI00019v7,J024405.35+621448.6
AWI0005zfw,J024430.00+280053.8
AWI0005yjv,J024442.79+342743.3
AWI0003lvf,J024548.07+565410.5
AWI0005e2h,J024720.35+690824.4
AWI0000zpe,J024748.60+605750.4
AWI0005e2m,J024755.29+692548.1
AWI0005zxg,J024820.03+200036.6
AWI0005e2q,J024956.32+692224.0
AWI0005e2r,J025048.69+691530.0
AWI0000haj,J025112.90-455939.3
AWI0002d5e,J025218.60+661539.2
AWI0002d5g,J025537.08+664751.7
AWI0003lvn,J025607.14+563634.1
AWI00019vp,J025947.05+614915.2
AWI0005e37,J030016.69+693007.1
AWI0005e37,J030016.69+693007.1 
AWI00019vq,J030039.85+613950.8
AWI0001qpq,J030134.44+622815.0
AWI0003lvq,J030209.78+554517.2
AWI0001qpt,J030312.90+622019.4
AWI0005yk2,J030420.71+352410.8
AWI0005w7g,J030626.85+385259.9
AWI00062b2,J030637.66-604119.0
AWI0005yk3,J030651.95+303136.8
AWI00062ic,J030854.20-185809.1
AWI00062b6,J031248.58+024141.9
AWI0004nfl,J031356.60+514407.8
AWI0000pvn,J031601.05-663411.1 
AWI0000zjo,J031849.68+593351.5
AWI0005w7k,J031942.88+364101.3
AWI0000zqm,J032053.35+584939.5
AWI00019wg,J032110.92+600020.7
AWI0005zy1,J032322.56-850349.3
AWI0005w7o,J032429.84+341709.9
AWI0005ykd,J032448.99+283908.6
AWI0005zy4,J032504.59+105835.0
AWI0002vcf,J032528.86+545918.5
AWI00062iw,J032555.87-355515.1
AWI0005ykn,J032557.49+273436.3
AWI0000zqu,J032748.97+581216.3
AWI00019wk,J032758.50+585834.0
AWI0005ykq,J032800.10+300846.8
AWI0000zjw,J032814.60+582937.4
AWI0004nfu,J032853.67+490412.8
AWI0005yle,J033052.52+305417.6
AWI0005ylh,J033118.31+304939.4
AWI0005ylm,J033233.01+310221.5
AWI0005ylo,J033241.70+311045.6
AWI00062bl,J033337.91-072453.8
AWI0000xcp,J033359.90+564753.9
AWI0002vcl,J033404.49+543023.5
AWI0005w7t,J033449.86+311550.0
AWI0000zka,J033540.00+575835.6
AWI0002d6a,J033549.39+641324.7
AWI0000zr4,J033611.47+573519.5
AWI0004yk2,J033700.75+554907.5
AWI0005w7w,J033703.64+303929.0
AWI00062j7,J033709.08-294948.5
AWI0005mw8,J033822.70+444801.6
AWI0005zyg,J033855.10+024548.2
AWI0005ylw,J033906.73+244209.8
AWI0005w84,J034102.75+344111.7
AWI0005w85,J034109.14+314437.8
AWI00062br,J034143.91-051429.4
AWI00034t6,J034236.67+535339.3
AWI0005mwb,J034303.39+435525.9
AWI0002oz0,J034421.86+543100.4
AWI0005w9a,J034525.14+320930.2
AWI0005w9d,J034542.58+344631.9
