!  STARS, BROWN DWARFS, AND GAS GIANT PLANETS COLORS
!  
!  E(B-V) =     0.000
!     A_V =     0.000
!
!  "MAGNITUDES" m AT THE STELLAR SURFACE
!  (distance modulus factor not included)
!
!  ABSOLUTE MAGNITUDES: M_m = m - 5logR(pc) + 5
!
! Type of calibration used: AB
!
! Unless mentioned otherwise below, we calculate:
! Pogson magnitudes resulting from photon count integration (caracteristic of CCDs)
!
! Note that absolute magnitudes are calculated from the model atmosphere fluxes as Pogson magnitudes, while observed SDSS photometry is provided as Asinh magnitudes.
! To obtain apparent magnitudes at a distance from the isochrones, the absolute magnitudes have to be converted to flux ratios,
! scaled to the distance and converted back as Asinh magnitudes, e.g. for a distance modulus D= 0.2 log10(d/10 pc) compute f/f0= 10**(-0.4*(M+D))
! m= -2.5/ln(10) * [asinh([f/f0]/[2b]) + ln(b)] where b is the appropriate asinh softening parameter (cf. table at
! http://www.sdss.org/dr12/algorithms/magnitudes/#asinh), i.e.
! b(u)= 1.4e-10, b(g)= 0.9e-10, b(r)= 1.2e-10, b(i)= 1.8e-10, b(z)= 7.4e-10
!
!  SDSS with airmass=1.3 filter system (Doi et al. 2010) filter system
!
!        Teff    Logg   [M/H]   [a/H]             u           g           r           i           z          u1          u2          u3          u4          u5          u6          g1          g2          g3          g4          g5          g6          r1          r2          r3          r4          r5          r6          i1          i2          i3          i4          i5          i6          z1          z2          z3          z4          z5          z6
      1500.00    5.00    0.00    0.00       -20.003     -23.971     -26.734     -29.079     -31.404     -20.496     -19.337     -20.796     -20.794     -20.117     -19.999     -23.964     -23.954     -23.982     -23.977     -23.972     -23.975     -26.782     -26.741     -26.708     -26.730     -26.721     -26.729     -29.097     -29.097     -29.095     -29.093     -29.097     -29.091     -31.383     -31.450     -31.413     -31.420     -31.386     -31.373
      1500.00    5.50    0.00    0.00       -19.858     -24.179     -26.391     -28.876     -31.595     -20.274     -19.348     -20.551     -20.528     -19.993     -19.912     -24.168     -24.161     -24.192     -24.186     -24.180     -24.183     -26.448     -26.398     -26.366     -26.386     -26.376     -26.384     -28.897     -28.894     -28.891     -28.889     -28.895     -28.888     -31.573     -31.644     -31.604     -31.613     -31.575     -31.562
      1550.00    5.00    0.00    0.00       -20.882     -24.080     -27.197     -29.429     -31.304     -21.120     -20.180     -21.398     -21.448     -20.838     -20.752     -24.080     -24.064     -24.085     -24.084     -24.084     -24.084     -27.232     -27.203     -27.172     -27.196     -27.189     -27.195     -29.442     -29.446     -29.446     -29.442     -29.443     -29.438     -31.285     -31.347     -31.313     -31.320     -31.287     -31.275
      1550.00    5.50    0.00    0.00       -20.403     -24.363     -26.971     -29.316     -31.607     -20.798     -19.788     -21.084     -21.086     -20.486     -20.391     -24.355     -24.345     -24.374     -24.369     -24.364     -24.367     -27.018     -26.978     -26.945     -26.967     -26.959     -26.966     -29.334     -29.334     -29.332     -29.329     -29.333     -29.327     -31.587     -31.652     -31.616     -31.624     -31.589     -31.578
      1600.00    2.50    0.00    0.00       -21.735     -24.044     -27.070     -29.122     -31.210     -21.391     -21.332     -21.565     -21.659     -21.764     -21.849     -24.047     -24.028     -24.044     -24.046     -24.051     -24.049     -27.086     -27.075     -27.051     -27.072     -27.068     -27.071     -29.123     -29.130     -29.129     -29.120     -29.126     -29.116     -31.188     -31.290     -31.226     -31.243     -31.180     -31.158
      1600.00    3.00    0.00    0.00       -20.652     -22.333     -25.913     -28.171     -30.034     -20.213     -20.461     -20.390     -20.480     -20.908     -21.044     -22.337     -22.316     -22.331     -22.334     -22.340     -22.337     -25.931     -25.918     -25.892     -25.914     -25.910     -25.914     -28.166     -28.176     -28.176     -28.169     -28.171     -28.163     -30.011     -30.100     -30.048     -30.059     -30.008     -29.991
      1600.00    3.50    0.00    0.00       -20.377     -21.529     -25.540     -27.906     -29.646     -19.888     -20.282     -20.062     -20.150     -20.726     -20.882     -21.535     -21.512     -21.525     -21.530     -21.537     -21.533     -25.560     -25.545     -25.519     -25.541     -25.537     -25.541     -27.896     -27.908     -27.909     -27.902     -27.903     -27.896     -29.622     -29.702     -29.658     -29.665     -29.623     -29.608
      1600.00    4.00    0.00    0.00       -21.521     -23.997     -27.293     -29.403     -31.073     -21.363     -21.053     -21.582     -21.659     -21.541     -21.551     -24.000     -23.980     -23.996     -23.999     -24.003     -24.001     -27.314     -27.298     -27.271     -27.293     -27.288     -27.293     -29.408     -29.416     -29.417     -29.410     -29.412     -29.406     -31.053     -31.123     -31.084     -31.091     -31.053     -31.039
      1600.00    4.50    0.00    0.00       -21.457     -24.235     -27.452     -29.571     -31.253     -21.452     -20.873     -21.699     -21.768     -21.416     -21.379     -24.237     -24.219     -24.236     -24.238     -24.241     -24.239     -27.478     -27.458     -27.429     -27.452     -27.447     -27.452     -29.579     -29.587     -29.587     -29.581     -29.583     -29.577     -31.234     -31.297     -31.262     -31.269     -31.235     -31.223
      1600.00    5.00    0.00    0.00       -21.197     -24.315     -27.421     -29.598     -31.355     -21.362     -20.534     -21.631     -21.686     -21.147     -21.077     -24.316     -24.299     -24.319     -24.319     -24.319     -24.319     -27.453     -27.427     -27.396     -27.421     -27.414     -27.420     -29.610     -29.615     -29.615     -29.610     -29.612     -29.607     -31.337     -31.396     -31.363     -31.370     -31.338     -31.327
