Teff,Logg,G2018,G2018_BP,G2018_RP,J,H,K,W1_W10,W2_W10,W3_W10,W4_W10
2100.00,3.50,-30.979,-26.825,-32.404,-36.149,-36.800,-37.303,-37.657,-37.963,-38.494,-38.635
2100.00,4.00,-31.119,-27.152,-32.543,-36.211,-36.863,-37.317,-37.644,-37.876,-38.447,-38.555
2100.00,4.50,-31.110,-26.877,-32.542,-36.236,-36.922,-37.366,-37.707,-37.904,-38.457,-38.551
2100.00,5.00,-31.157,-27.208,-32.593,-36.244,-36.959,-37.300,-37.673,-37.769,-38.389,-38.420
2100.00,5.50,-31.397,-27.171,-32.855,-36.354,-36.992,-37.182,-37.598,-37.601,-38.286,-38.297
2150.00,2.50,-31.019,-26.703,-32.446,-36.245,-36.861,-37.371,-37.695,-38.063,-38.554,-38.727
2150.00,3.00,-31.089,-26.764,-32.517,-36.250,-36.888,-37.394,-37.716,-38.050,-38.548,-38.690
2150.00,3.50,-31.260,-27.095,-32.685,-36.300,-36.927,-37.408,-37.727,-38.026,-38.528,-38.657
2150.00,4.00,-31.324,-27.167,-32.752,-36.343,-36.986,-37.433,-37.737,-37.983,-38.499,-38.611
2150.00,4.50,-31.262,-27.169,-32.694,-36.306,-37.008,-37.427,-37.744,-37.940,-38.476,-38.568
2150.00,5.00,-31.286,-27.352,-32.720,-36.303,-37.031,-37.391,-37.740,-37.861,-38.437,-38.480
2200.00,2.50,-31.312,-27.113,-32.736,-36.397,-36.953,-37.430,-37.735,-38.102,-38.572,-38.747
2200.00,3.00,-31.360,-27.149,-32.783,-36.376,-36.963,-37.446,-37.763,-38.100,-38.576,-38.723
2200.00,3.50,-31.434,-27.347,-32.855,-36.385,-36.990,-37.461,-37.774,-38.077,-38.558,-38.685
2200.00,4.00,-31.495,-27.447,-32.919,-36.421,-37.040,-37.477,-37.772,-38.021,-38.521,-38.629
2200.00,4.50,-31.438,-27.041,-32.871,-36.405,-37.056,-37.485,-37.799,-38.011,-38.512,-38.622
