!  STARS, BROWN DWARFS, AND GAS GIANT PLANETS COLORS
!  
!  E(B-V) =     0.000
!     A_V =     0.000
!
!  "MAGNITUDES" m AT THE STELLAR SURFACE
!  (distance modulus factor not included)
!
!  ABSOLUTE MAGNITUDES: M_m = m - 5logR(pc) + 5
!
! Type of calibration used: Vega
! Using recent Calspec Alpha Lyrea STIS spectrum:
! ftp://ftp.stsci.edu/cdbs/current_calspec/
!
! Unless mentioned otherwise below, we calculate:
! Pogson magnitudes resulting from photon count integration (caracteristic of CCDs)
!
!  GAIA filter system
!
!        Teff    Logg   [M/H]   [a/H]           F33        F33B         F41        F45B         F47         F51         FHa         F57        F63B         F67         F75         F78         F82        F82B         F89       G_RSV           G        G_BP        G_RP
      1800.00    5.50    0.00    0.00       -21.512     -21.512     -23.212     -25.261     -25.706     -25.949     -29.531     -25.958     -28.951     -29.861     -30.459     -30.630     -32.128     -31.963     -33.175     -32.701     -30.427     -26.577     -32.043
      1850.00    5.00    0.00    0.00       -20.598     -20.598     -22.408     -24.473     -24.604     -25.597     -29.226     -26.365     -28.671     -29.541     -30.382     -30.592     -31.680     -31.537     -32.669     -32.137     -30.011     -26.542     -31.602
      1850.00    5.50    0.00    0.00       -21.741     -21.741     -23.390     -25.500     -25.961     -26.173     -29.682     -26.088     -29.076     -29.987     -30.627     -30.791     -32.323     -32.158     -33.396     -32.869     -30.629     -26.757     -32.255
      1900.00    2.50    0.00    0.00       -20.079     -20.079     -20.689     -22.032     -21.973     -23.166     -26.369     -24.297     -25.987     -26.843     -28.392     -28.909     -30.115     -29.953     -31.353     -30.002     -28.460     -24.080     -30.154
      1900.00    3.00    0.00    0.00       -20.447     -20.447     -21.268     -23.145     -23.200     -24.319     -27.580     -25.575     -27.160     -27.987     -29.341     -29.869     -30.998     -30.836     -32.175     -31.008     -29.328     -25.293     -30.999
      1900.00    3.50    0.00    0.00       -20.467     -20.467     -21.643     -23.849     -23.950     -25.030     -28.286     -26.243     -27.838     -28.659     -29.914     -30.373     -31.513     -31.328     -32.616     -31.535     -29.802     -25.977     -31.453
      1900.00    4.00    0.00    0.00       -20.217     -20.217     -21.763     -23.986     -24.045     -25.224     -28.566     -26.603     -28.108     -28.907     -30.102     -30.469     -31.517     -31.355     -32.597     -31.638     -29.833     -26.267     -31.461
      1900.00    4.50    0.00    0.00       -20.327     -20.327     -22.125     -24.267     -24.327     -25.497     -28.992     -26.797     -28.497     -29.314     -30.350     -30.657     -31.675     -31.540     -32.742     -31.963     -30.030     -26.585     -31.643
      1900.00    5.00    0.00    0.00       -20.665     -20.665     -22.441     -24.554     -24.696     -25.674     -29.242     -26.445     -28.683     -29.550     -30.434     -30.657     -31.798     -31.662     -32.861     -32.213     -30.158     -26.597     -31.772
      1900.00    5.50    0.00    0.00       -21.760     -21.760     -23.413     -25.529     -25.970     -26.237     -29.745     -26.180     -29.132     -30.041     -30.692     -30.852     -32.363     -32.202     -33.443     -32.903     -30.681     -26.831     -32.307
