Name,WISE_ID,RA,DEC
AWI0000zjw,J032814.60+582937.4,52.0608352,58.4937358
AWI0004nfu,J032853.67+490412.8,52.2236502,49.0702244
AWI0005yle,J033052.52+305417.6,52.7188734,30.9049136
AWI0005ylh,J033118.31+304939.4,52.8263111,30.8275847
AWI0005ylm,J033233.01+310221.5,53.1375454,31.0393233
AWI0005ylo,J033241.70+311045.6,53.1737643,31.1793536
AWI00062bl,J033337.91-072453.8,53.40796767,-7.414972048
AWI0000xcp,J033359.90+564753.9,53.49965078,56.79830215
AWI0002vcl,J033404.49+543023.5,53.5187169,54.5065397
AWI0005w7t,J033449.86+311550.0,53.70787978,31.26374973
AWI0000zka,J033540.00+575835.6,53.9167261,57.9765836
AWI0002d6a,J033549.39+641324.7,53.95589266,64.22351993
AWI0000zr4,J033611.47+573519.5,54.0478284,57.5887728
AWI0004yk2,J033700.75+554907.5,54.25320047,55.81877471
AWI0005w7w,J033703.64+303929.0,54.26516833,30.65804449
AWI00062j7,J033709.08-294948.5,54.28785774,-29.83019834
AWI0005mw8,J033822.70+444801.6,54.59469469,44.80039989
AWI0005zyg,J033855.10+024548.2,54.72961,2.763398
AWI0005ylw,J033906.73+244209.8,54.7780795,24.7027334
AWI0005w84,J034102.75+344111.7,55.26148577,34.68659165
AWI0005w85,J034109.14+314437.8,55.2880974,31.7438437
AWI00062br,J034143.91-051429.4,55.43301353,-5.241532736
AWI00034t6,J034236.67+535339.3,55.6528431,53.8942247
AWI0005mwb,J034303.39+435525.9,55.7641582,43.9238428
AWI0002oz0,J034421.86+543100.4,56.0911204,54.5167845
AWI0005w9a,J034525.14+320930.2,56.354773,32.1584155
AWI0005w9d,J034542.58+344631.9,56.42744775,34.77552811
AWI0005mwf,J034626.45+440137.0,56.6102189,44.026954
AWI0005ym3,J034627.29+241517.5,56.61375405,24.25481281
AWI0005mwg,J034633.38+440106.9,56.6390996,44.0185944
AWI0005w9g,J034641.48+352502.0,56.67283133,35.41722783
AWI0005mwh,J034716.14+440425.1,56.8172693,44.073486
AWI0005w9h,J034719.71+295159.9,56.83214794,29.86663843
AWI000632k,J034857.41+404017.0,57.2392514,40.6713892
AWI00062bv,J034923.46-175634.3,57.34778791,-17.94290596
AWI00019x4,J034926.75+570719.6,57.36153447,57.12207921
AWI00062bw,J035012.39-163811.8,57.55165,-16.6366
AWI0002oz1,J035030.83+540119.7,57.6284686,54.0221511
AWI000632e,J035058.53+350528.5,57.74391148,35.0912402
AWI0005ym9,J035157.43+255955.4,57.98933753,25.99867892
AWI0006328,J035224.19+361221.3,58.100852,36.205929
AWI0006327,J035234.42+353358.9,58.14345,35.56637
AWI0006327,J035234.42+353358.9,58.1434608,35.5663575 
AWI00062bz,J035300.72-495546.5,58.252947,-49.929587
AWI0005yma,J035323.83+271838.3,58.3492998,27.3106405
AWI0002d6k,J035335.04+602859.8,58.39476447,60.48039585
AWI0004eir,J035426.49+475116.5,58.61040748,47.85460234
AWI0005w9q,J035454.28+295943.9,58.7261666,29.99552263
AWI0005mwq,J035725.80+431858.4,59.35759505,43.31618773
AWI0002vd2,J035905.58+513601.3,59.77331392,51.60036507
AWI0005mwr,J040010.43+400049.4,60.04350857,40.01374307
AWI0005w9t,J040037.42+323808.0,60.15596408,32.6355377
AWI0005ymc,J040040.65+202447.8,60.16941026,20.41327454
AWI000631u,J040107.94+334320.8,60.283095,33.7224542
AWI000631s,J040219.09+324015.1,60.579836,32.670841
AWI00062cf,J040233.37-592314.4,60.6391102,-59.38730663
AWI0005zz5,J040238.47-004803.7,60.66031599,-0.801086019
